from_table,from_key,to_table,to_key
football.csv,id,differences_stats.csv,ft_id_differences_stats
football.csv,id,strong_team.csv,ft_id_strong_team
strong_team.csv,id_strong_team,strong_building.csv,st_id_strong_building
strong_team.csv,id_strong_team,strong_strategy.csv,st_id_strong_strategy
strong_strategy.csv,id_strong_strategy,strong_change_creation.csv,ss_id_strong_change_creation
football.csv,id,weak_team.csv,ft_id_weak_team
weak_team.csv,id_weak_team,weak_strategy.csv,wt_id_weak_strategy
weak_team.csv,id_weak_team,weak_building.csv,wt_id_weak_building
weak_strategy.csv,id_weak_strategy,weak_change_creation.csv,ws_id_weak_change_creation
